Timestamp,Πόσα χρόνια δουλεύεις επαγγελματικά ως προγραμματιστής;,Με τι είδος development ασχολείσαι επαγγελματικά αυτή την περίοδο;,Σε ποιες γλώσσες προγραμματισμού δουλεύεις  επαγγελματικά αυτή την περίοδο;,Τι μέγεθος είναι η εταιρεία που δουλεύεις;,Ποιος είναι ο τρόπος εργασίας;,Έχεις άτομα υπό την επίβλεψη σου;,Έχεις προσωπικά projects ή κάνεις freelancing πέρα από την κύρια εργασία σου;,Σε ποια πόλη μένεις;,Σε ποια πόλη δουλεύεις;,Φύλλο;,Ποιος είναι ο ετήσιος καθαρός μισθός σου;
7/15/2020 12:31:21,1-3,Mobile apps,Swift,51-100,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,15400
7/15/2020 12:32:10,1-3,Backend,C#,101-200,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,10000
7/15/2020 12:36:55,4-5,Mobile apps,Swift,101-200,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,25600
7/15/2020 12:39:45,6-10,AI / ML,"Java, Python, Visual Basic, R",101-200,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,3.6
7/15/2020 12:46:37,1-3,"Backend, Frontend","Java, JavaScript",201-500,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,11.27
7/15/2020 12:50:54,1-3,Mobile apps,"Java, Kotlin",<10,Απομακρυσμένα,Όχι,Ναι,Ρέθυμνο,Αίγιο,Άντρας,11200
7/15/2020 12:52:17,4-5,embedded/low-level/systems programming,"C, C++, Assembly",501+,Και τα δύο,Όχι,Ναι,Θεσσαλονίκη,Dublin/California ,Άντρας,~43.000
7/15/2020 12:54:01,4-5,Frontend,JavaScript,501+,Απομακρυσμένα,Όχι,Ναι,Krakow,δεν έχω συγκεκριμένη πολη,Άντρας,38000
7/15/2020 12:54:08,1-3,Mobile apps,"Java, Kotlin",11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Λεμεσό,,Άντρας,33800
7/15/2020 12:57:03,1-3,Frontend,JavaScript,501+,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,20000
7/15/2020 12:57:16,1-3,Mobile apps,"Java, C++, Python, JavaScript",<10,Απομακρυσμένα,Όχι,Ναι,London,London,Άντρας,1E+99
7/15/2020 13:07:57,1-3,Backend,"C#, Python, JavaScript",51-100,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,700
7/15/2020 13:08:17,1-3,"Backend, Frontend","Python, JavaScript, Clojure",501+,Και τα δύο,Όχι,Ναι,Αθήνα,Berlin,Άντρας,40K
7/15/2020 13:23:45,1-3,"Backend, Frontend","JavaScript, PHP",201-500,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,12600
7/15/2020 13:27:02,11+,"Backend, Frontend","JavaScript, PHP",<10,Στον χώρο του εργοδότη,Όχι,Όχι,Ηράκλειο,Ηράκλειο,Άντρας,18000
7/15/2020 13:30:46,4-5,"Backend, Frontend","C, Python, JavaScript, Ruby",11-50,Στον χώρο του εργοδότη,Ναι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,25000
7/15/2020 13:31:19,4-5,Backend,Ruby,51-100,Στον χώρο του εργοδότη,Όχι,Όχι,Amsterdam,Amsterdam,Άντρας,42000
7/15/2020 13:32:13,4-5,Backend,Ruby,11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,16000
7/15/2020 13:34:05,1-3,"Mobile apps, Desktop apps","Java, JavaScript",11-50,Απομακρυσμένα,Όχι,Όχι,Χανια,,Άντρας,12000
7/15/2020 13:56:59,6-10,"DevOps, Backend, Frontend, Desktop apps",Java,11-50,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,,Άντρας,24000
7/15/2020 13:57:25,4-5,"Backend, Frontend",PHP,201-500,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,18500
7/15/2020 14:03:17,1-3,"Backend, Frontend, Desktop apps","C#, JavaScript, Visual Basic, Typescript",501+,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,15560
7/15/2020 14:12:40,1-3,Frontend,JavaScript,501+,Και τα δύο,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,20300
7/15/2020 14:12:47,6-10,Mobile apps,Swift,101-200,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,28000
7/15/2020 14:16:46,1-3,Mobile apps,"Java, Kotlin",<10,Και τα δύο,Όχι,Ναι,Σέρρες,Θεσσαλονίκη,Άντρας,7200
7/15/2020 14:22:05,1-3,Backend,Python,11-50,Και τα δύο,Όχι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,15400
7/15/2020 14:23:51,4-5,DevOps,Python,201-500,Στον χώρο του εργοδότη,Όχι,Ναι,London,London,Άντρας,63600
7/15/2020 14:35:17,6-10,"DevOps, Backend",Java,501+,Και τα δύο,Ναι,Ναι,London,London,Άντρας,4000
7/15/2020 14:40:04,4-5,Backend,"JavaScript, PHP, Go",501+,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,21000
7/15/2020 14:58:27,1-3,"DevOps, Backend, Frontend, AI / ML","Python, JavaScript, Typescript, Rust",101-200,Και τα δύο,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,6000
7/15/2020 15:06:05,1-3,"Backend, Frontend","Java, JavaScript",501+,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,13000
7/15/2020 15:07:44,1-3,Frontend,"Java, JavaScript",<10,Στον χώρο του εργοδότη,Όχι,Όχι,Κοζανη,,Άντρας,10500
7/15/2020 15:16:36,Δε δουλεύω ακόμα,Websites,Python,<10,Απομακρυσμένα,Ναι,Ναι,Σέρρες,Σέρρες,Άντρας,12
7/15/2020 15:38:48,6-10,Frontend,JavaScript,101-200,Και τα δύο,Ναι,Όχι,Leeds,"Leeds, UK",Άντρας,36263.59
7/15/2020 15:48:13,1-3,"Backend, Frontend",C++,501+,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,11620
7/15/2020 15:58:38,1-3,Backend,Java,11-50,Και τα δύο,Όχι,Όχι,Amsterdam,Amsterdam,Άντρας,38
7/15/2020 16:02:01,4-5,AI / ML,"C, C++, C#, Python, Visual Basic .NET, PHP, R",101-200,Και τα δύο,Ναι,Ναι,Πάτρα,Πάτρα,Άντρας,348000
7/15/2020 16:09:44,1-3,Backend,Kotlin,101-200,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,8850
7/15/2020 16:39:26,1-3,Desktop apps,C#,201-500,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,18231
7/15/2020 16:42:32,1-3,Frontend,JavaScript,101-200,Στον χώρο του εργοδότη,Όχι,Ναι,Πάτρα,Πάτρα,Άντρας,12320
7/15/2020 17:01:05,1-3,ICT,Python,501+,Και τα δύο,Όχι,Ναι,Amsterdam,Amsterdam,Άντρας,40000
7/15/2020 17:14:26,4-5,"DevOps, Backend","C#, Kotlin, Ruby, scala",11-50,Και τα δύο,Όχι,Ναι,Nuremberg,Nuremberg,Άντρας,35000
7/15/2020 17:17:13,1-3,AI / ML,Python,<10,Και τα δύο,Όχι,Ναι,Πάτρα,Πάτρα,Άντρας,1000
7/15/2020 17:19:14,6-10,"DevOps, Backend, Frontend","C#, JavaScript",51-100,Στον χώρο του εργοδότη,Ναι,Όχι,Αθήνα,Αθήνα,Άντρας,1400
7/15/2020 17:47:01,1-3,"Backend, Frontend","Java, JavaScript",101-200,Και τα δύο,Όχι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Γυναίκα,850€ * 14 = 11.900€
7/15/2020 17:53:50,11+,"DevOps, Backend, Frontend, Mobile apps, AI / ML","Python, JavaScript, Ruby",11-50,Απομακρυσμένα,Ναι,Ναι,Αθήνα,London,Άντρας,78000
7/15/2020 18:00:47,Δε δουλεύω ακόμα,Backend,"Python, JavaScript, PHP",<10,Απομακρυσμένα,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,12000
7/15/2020 18:01:53,6-10,Mobile apps,Java,51-100,Και τα δύο,Ναι,Όχι,Αθήνα,Αθήνα,Άντρας,"14,700"
7/15/2020 18:07:19,6-10,Backend,Ruby,201-500,Απομακρυσμένα,Ναι,Όχι,Αθήνα,San Francisco,Άντρας,~100.000
7/15/2020 18:19:01,1-3,"Backend, Frontend, AI / ML","C#, JavaScript, R",501+,Και τα δύο,Όχι,Όχι,Glasgow,Glasgow,Άντρας,30548
7/15/2020 18:31:39,1-3,"Backend, Frontend, Mobile apps","JavaScript, PHP",<10,Στον χώρο του εργοδότη,Όχι,Όχι,Ηράκλειο,Ηράκλειο,Άντρας,680
7/15/2020 18:35:28,1-3,"Backend, Frontend",PHP,51-100,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,7800
7/15/2020 18:35:43,1-3,Backend,Java,<10,Στον χώρο του εργοδότη,Όχι,Ναι,Berlin,Berlin,Άντρας,1800
7/15/2020 18:39:00,Δε δουλεύω ακόμα,"Backend, Frontend","JavaScript, PHP",<10,Απομακρυσμένα,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,6500
7/15/2020 18:39:29,1-3,Backend,Python,11-50,Και τα δύο,Όχι,Όχι,Vienna,,Άντρας,30000
7/15/2020 18:46:10,4-5,Backend,PHP,11-50,Και τα δύο,Όχι,Ναι,Σέρρες,Δράμα,Άντρας,"11,800"
7/15/2020 18:48:30,6-10,"Backend, Mobile apps, Gaming","Java, C#, Visual Basic .NET, PHP, Visual Basic",<10,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,18000
7/15/2020 19:01:33,1-3,"DevOps, Backend","Python, Go",<10,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,16800
7/15/2020 19:02:31,4-5,"Frontend, UI/UX","JavaScript, HTML CSS JS",11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,1600
7/15/2020 19:13:59,11+,"Backend, Desktop apps, AI / ML, BI","C#, Python",51-100,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,23800
7/15/2020 19:19:38,4-5,Frontend,JavaScript,501+,Και τα δύο,Όχι,Ναι,Πάτρα,Πάτρα,Άντρας,1000
7/15/2020 19:22:54,Δε δουλεύω ακόμα,Frontend,"JavaScript, PHP",<10,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,8400
7/15/2020 19:36:39,1-3,"DevOps, Backend, Frontend, Mobile apps","Python, JavaScript, PHP",<10,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,11000
7/15/2020 19:39:08,1-3,"Backend, Frontend","C#, JavaScript",11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,11000
7/15/2020 19:47:40,4-5,Backend,"JavaScript, PHP",<10,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,16250
7/15/2020 19:53:18,6-10,"Backend, Frontend","PHP, html css WordPress",<10,Στον χώρο του εργοδότη,Όχι,Ναι,Πάτρα,Πάτρα,Άντρας,5000
7/15/2020 19:54:58,4-5,Backend,"Java, C",201-500,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,18000
7/15/2020 19:55:52,4-5,"Backend, Frontend, embedded","C++, JavaScript, PHP",11-50,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,18900
7/15/2020 20:15:24,1-3,"Backend, Frontend","C#, JavaScript",501+,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,16000
7/15/2020 20:26:56,1-3,"Backend, Frontend","Java, JavaScript",201-500,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,800
7/15/2020 20:28:28,6-10,Frontend,"JavaScript, PHP",11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,,Άντρας,8400
7/15/2020 20:38:06,4-5,Mobile apps,"Swift, Objective-C, Kotlin",501+,Απομακρυσμένα,Όχι,Όχι,Αθήνα,Λευκωσια,Άντρας,50000
7/15/2020 20:51:13,1-3,Backend,"JavaScript, PHP",501+,Και τα δύο,Όχι,Ναι,Αθήνα,,Άντρας,12.5
7/15/2020 21:34:38,1-3,Mobile apps,"Java, Kotlin",11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,700
7/15/2020 21:47:32,1-3,Backend,Python,11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,10000
7/15/2020 21:50:56,1-3,"Frontend, embedded","C, JavaScript",11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,9000
7/15/2020 21:51:46,1-3,Backend,"Java, JavaScript",501+,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,13104
7/15/2020 21:55:26,4-5,DevOps,Python,51-100,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,17000
7/15/2020 22:01:11,1-3,"Backend, Business Intelligence",C#,11-50,Και τα δύο,Ναι,Όχι,Αθήνα,Αθήνα,Άντρας,15400
7/15/2020 22:17:54,1-3,Frontend,PHP,201-500,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,12280
7/15/2020 22:24:44,6-10,Backend,"PHP, Go",501+,Και τα δύο,Ναι,Όχι,Αθήνα,Αθήνα,Άντρας,24000
7/15/2020 22:36:21,1-3,"Backend, Frontend, Mobile apps","C#, JavaScript",101-200,Στον χώρο του εργοδότη,Όχι,Ναι,ΣΑΛΑΜΙΝΑ,Αθήνα,Άντρας,12000
7/15/2020 22:36:43,1-3,DevOps,"Python, PHP, Ruby, Go, Assembly",11-50,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,10000
7/15/2020 22:42:03,11+,"DevOps, Backend","Java, JavaScript, PHP, Go",11-50,Και τα δύο,Ναι,Ναι,Amsterdam,Amsterdam,Άντρας,55000
7/15/2020 22:51:27,1-3,"Backend, Frontend","Java, JavaScript",201-500,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,14000
7/15/2020 22:54:16,Δε δουλεύω ακόμα,"DevOps, Backend","Java, C++, JavaScript",11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,600
7/15/2020 22:54:49,1-3,"Backend, Frontend, Mobile apps","C#, JavaScript",101-200,Στον χώρο του εργοδότη,Όχι,Ναι,ΣΑΛΑΜΙΝΑ,Αθήνα,Άντρας,12000
7/15/2020 22:56:13,1-3,"Backend, Frontend","Java, JavaScript",501+,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,930
7/15/2020 23:05:04,6-10,"Backend, Frontend",Java,51-100,Στον χώρο του εργοδότη,Ναι,Όχι,Madrid,Madrid,Άντρας,25000
7/15/2020 23:12:54,4-5,"Backend, Frontend, Mobile apps",Java,101-200,Στον χώρο του εργοδότη,Ναι,Όχι,Καβάλα,Καβάλα,Άντρας,15820
7/15/2020 23:14:02,1-3,Frontend,"Python, JavaScript, Typescript",11-50,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,19000
7/15/2020 23:14:53,4-5,Backend,Java,501+,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,21000
7/15/2020 23:24:44,1-3,Backend,"JavaScript, PHP",<10,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,11200
7/15/2020 23:33:23,6-10,"Backend, Frontend","JavaScript, PHP",<10,Στον χώρο του εργοδότη,Όχι,Ναι,Κάλυμνος,Κάλυμνος,Άντρας,12600
7/15/2020 23:37:37,1-3,Frontend,JavaScript,11-50,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,12000
7/15/2020 23:49:14,11+,"Backend, Frontend",C#,11-50,Απομακρυσμένα,Ναι,Ναι,Αθήνα,San Francisco,Άντρας,40000
7/15/2020 23:52:39,1-3,"Backend, Frontend",C#,11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,21300
7/16/2020 0:04:50,11+,"DevOps, Backend","PHP, Go",201-500,Στον χώρο του εργοδότη,Ναι,Όχι,Amsterdam,Amsterdam,Άντρας,85000
7/16/2020 0:05:20,4-5,"Backend, Frontend","JavaScript, PHP",<10,Απομακρυσμένα,Όχι,Ναι,Θεσσαλονίκη,Αθήνα,Άντρας,10000
7/16/2020 0:31:16,1-3,Backend,Java,501+,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,13600
7/16/2020 0:42:05,1-3,"DevOps, Backend, Mobile apps, Desktop apps, AI / ML, Cybersecurity","Java, C, C++, Python, JavaScript, Assembly",101-200,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,17000
7/16/2020 0:52:38,4-5,Backend,"JavaScript, PHP",<10,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,11252
7/16/2020 0:53:33,1-3,Frontend,JavaScript,11-50,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,10400
7/16/2020 1:07:45,1-3,AI / ML,Python,51-100,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,12600
7/16/2020 1:30:56,4-5,Backend,JavaScript,<10,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,1500
7/16/2020 2:27:43,6-10,"Backend, AI / ML","Java, Python",11-50,Και τα δύο,Όχι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,23500
7/16/2020 7:40:40,11+,"DevOps, Backend, Frontend","Java, JavaScript",11-50,Στον χώρο του εργοδότη,Ναι,Ναι,Ηράκλειο,Ηράκλειο,Άντρας,16000
7/16/2020 10:29:00,1-3,Mobile apps,C#,11-50,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,19765
7/16/2020 10:51:14,6-10,"Mobile apps, Gaming",C#,11-50,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,,Άντρας,25400
7/16/2020 10:55:05,Δε δουλεύω ακόμα,DevOps,Python,<10,Και τα δύο,Όχι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,9600
7/16/2020 12:32:21,1-3,AI / ML,Python,101-200,Απομακρυσμένα,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,7200
7/16/2020 12:45:48,4-5,"Backend, Frontend","JavaScript, PHP",11-50,Στον χώρο του εργοδότη,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,19600
7/16/2020 12:50:45,Δε δουλεύω ακόμα,Backend,Java,<10,Στον χώρο του εργοδότη,Όχι,,Αθήνα,,,0
7/16/2020 13:35:03,1-3,Mobile apps,Java,<10,Στον χώρο του εργοδότη,Όχι,Ναι,Ηράκλειο,Ηράκλειο,Άντρας,700€ το μήνα
7/16/2020 14:27:30,4-5,"Backend, Frontend",JavaScript,201-500,Απομακρυσμένα,Όχι,Όχι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,40000
7/16/2020 14:41:06,1-3,Automation Testing,Java,501+,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,13000
7/16/2020 15:32:00,1-3,"DevOps, Backend, Frontend","Java, JavaScript",<10,Και τα δύο,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,21000
7/16/2020 15:35:01,6-10,Mobile apps,"Java, Kotlin",101-200,Στον χώρο του εργοδότη,Όχι,Ναι,Θεσσαλονίκη,Θεσσαλονίκη,Άντρας,21420
7/16/2020 15:39:34,1-3,Backend,"Java, Groovy",<10,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,9000
7/16/2020 16:31:07,4-5,Frontend,"JavaScript, PHP",<10,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,12000
7/16/2020 16:32:58,4-5,"Backend, Frontend","JavaScript, PHP",51-100,Και τα δύο,Όχι,Όχι,Berlin,Berlin,Άντρας,30000
7/16/2020 16:49:36,4-5,"Desktop apps, Gaming",C++,<10,Απομακρυσμένα,Ναι,Ναι,Κομοτηνή,Κομοτηνή,Άντρας,21000
7/16/2020 19:33:45,1-3,Mobile robotics,"C++, Python",501+,Στον χώρο του εργοδότη,Όχι,Ναι,Eindhoven,Eindhoven,Άντρας,31600
7/16/2020 19:44:24,1-3,Frontend,JavaScript,<10,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,9800
7/16/2020 20:16:46,1-3,Backend,"COBOL, RDML",501+,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,11200
7/16/2020 20:53:53,1-3,"DevOps, Frontend",JavaScript,11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,9800
7/16/2020 21:31:03,4-5,Backend,C#,51-100,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,1400
7/16/2020 21:36:02,4-5,"Backend, Frontend","C#, JavaScript",201-500,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,19600
7/16/2020 22:46:09,1-3,Backend,"JavaScript, PHP",<10,Στον χώρο του εργοδότη,Όχι,Όχι,Κύπρο,Λάρνακα,Άντρας,13200
7/16/2020 23:15:58,1-3,"Backend, Frontend",C#,101-200,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,11.2
7/16/2020 23:33:08,6-10,"Backend, Frontend","C#, JavaScript",11-50,Και τα δύο,Όχι,Όχι,Oxford,Oxford,Άντρας,70000 στο περιπου 
7/16/2020 23:53:24,1-3,Backend,PHP,<10,Στον χώρο του εργοδότη,Όχι,Ναι,Βόλος,Βόλος,Άντρας,10500
7/17/2020 11:17:16,11+,Backend,"Java, JavaScript, Groovy",201-500,Απομακρυσμένα,Όχι,Ναι,Θεσσαλονίκη,Αθήνα,Άντρας,20300
7/17/2020 12:04:13,11+,"DevOps, AI / ML, + project managment","C#, Python, Visual Basic .NET, JavaScript",<10,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,1200
7/17/2020 18:52:45,4-5,Frontend,JavaScript,501+,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,23500
7/17/2020 21:56:59,4-5,Fullstack,"JavaScript, PHP, Ruby",11-50,Απομακρυσμένα,Όχι,Όχι,Kalmar,Stockholm,Άντρας,43750
7/17/2020 22:58:48,11+,Backend,PHP,11-50,Απομακρυσμένα,Όχι,Όχι,Ηράκλειο,Zurich,Άντρας,60000
7/18/2020 8:21:00,4-5,"Backend, Frontend","Java, C#",201-500,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,16800
7/18/2020 11:40:25,4-5,"DevOps, Backend, Frontend","PHP, Go",51-100,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,18000
7/18/2020 12:30:41,1-3,"DevOps, Backend",Python,501+,Στον χώρο του εργοδότη,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,930
7/18/2020 13:09:02,1-3,"Frontend, Mobile apps",JavaScript,11-50,Και τα δύο,Ναι,Όχι,Αθήνα,Αθήνα,Γυναίκα,24000
7/19/2020 0:49:25,1-3,Backend,C#,501+,Και τα δύο,Όχι,Όχι,Αθήνα,Αθήνα,Άντρας,10500
7/19/2020 11:32:01,4-5,"DevOps, Backend, Mobile apps","Java, C, C++, C#, Python, JavaScript, PHP",11-50,Και τα δύο,Ναι,Ναι,Αθήνα,Αθήνα,Άντρας,15000
7/19/2020 16:12:49,1-3,Mobile apps,"Java, PHP, Swift, Kotlin",11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Αθήνα,Αθήνα,Άντρας,10200
7/19/2020 17:01:00,6-10,"Backend, Finance/Trading applications",Java,501+,Και τα δύο,Όχι,Όχι,Amsterdam,Amsterdam,Άντρας,70000
7/20/2020 1:07:01,1-3,"Backend, Frontend","Python, JavaScript, PHP",11-50,Και τα δύο,Ναι,Όχι,Αθήνα,Αθήνα,Άντρας,9000
7/20/2020 9:05:19,1-3,"Backend, Frontend","C#, Python, JavaScript, PHP",11-50,Στον χώρο του εργοδότη,Όχι,Ναι,Ξάνθη,Ξάνθη,Άντρας,10
