TimeStamp,YearsExperience,DevelopmentType,ProgrammingLanguages,CompanySize,WorkLocation,SuperivisionRole,WorkOutsideMainJob,CityLive,CityWork,Sex,NetSalary
7/15/2020 16:02:01,4-5,AI / ML,"C, C++, C#, Python, Visual Basic .NET, PHP, R",101-200,Both,Yes,Yes,Patras,Patras,Man,348000
7/15/2020 16:09:44,1-3,Backend,Kotlin,101-200,Both,No,No,Athena,Athena,Man,8850
7/15/2020 16:39:26,1-3,Desktop apps,C#,201-500,At the employer,No,Yes,Athena,Athena,Man,18231
7/15/2020 16:42:32,1-3,Frontend,JavaScript,101-200,At the employer,No,Yes,Patras,Patras,Man,12320
7/15/2020 17:01:05,1-3,ICT,Python,501+,Both,No,Yes,Amsterdam,Amsterdam,Man,40000
7/15/2020 17:14:26,4-5,"DevOps, Backend","C#, Kotlin, Ruby, scala",11-50,Both,No,Yes,Nuremberg,Nuremberg,Man,35000
7/15/2020 17:17:13,1-3,AI / ML,Python,<10,Both,No,Yes,Patras,Patras,Man,1000
7/15/2020 17:19:14,6-10,"DevOps, Backend, Frontend","C#, JavaScript",51-100,At the employer,Yes,No,Athena,Athena,Man,1400
7/15/2020 17:47:01,1-3,"Backend, Frontend","Java, JavaScript",101-200,Both,No,No,Thessaloniki,Thessaloniki,Woman,850€ * 14 = 11.900€
7/15/2020 17:53:50,11+,"DevOps, Backend, Frontend, Mobile apps, AI / ML","Python, JavaScript, Ruby",11-50,Remote,Yes,Yes,Athena,London,Man,78000
7/15/2020 18:00:47,I'm not working yet,Backend,"Python, JavaScript, PHP",<10,Remote,No,Yes,Thessaloniki,Thessaloniki,Man,12000
7/15/2020 18:01:53,6-10,Mobile apps,Java,51-100,Both,Yes,No,Athena,Athena,Man,"14,700"
7/15/2020 18:07:19,6-10,Backend,Ruby,201-500,Remote,Yes,No,Athena,San Francisco,Man,~100.000
7/15/2020 18:19:01,1-3,"Backend, Frontend, AI / ML","C#, JavaScript, R",501+,Both,No,No,Glasgow,Glasgow,Man,30548
7/15/2020 18:31:39,1-3,"Backend, Frontend, Mobile apps","JavaScript, PHP",<10,At the employer,No,No,Heraklion,Heraklion,Man,680
7/15/2020 18:35:28,1-3,"Backend, Frontend",PHP,51-100,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,7800
7/15/2020 18:35:43,1-3,Backend,Java,<10,At the employer,No,Yes,Berlin,Berlin,Man,1800
7/15/2020 18:39:00,I'm not working yet,"Backend, Frontend","JavaScript, PHP",<10,Remote,No,Yes,Athena,Athena,Man,6500
7/15/2020 18:39:29,1-3,Backend,Python,11-50,Both,No,No,Vienna,,Man,30000
7/15/2020 18:46:10,4-5,Backend,PHP,11-50,Both,No,Yes,Serres,Drama,Man,"11,800"
7/15/2020 18:48:30,6-10,"Backend, Mobile apps, Gaming","Java, C#, Visual Basic .NET, PHP, Visual Basic",<10,Both,Yes,Yes,Athena,Athena,Man,18000
7/15/2020 19:01:33,1-3,"DevOps, Backend","Python, Go",<10,Both,No,Yes,Athena,Athena,Man,16800
7/15/2020 19:02:31,4-5,"Frontend, UI/UX","JavaScript, HTML CSS JS",11-50,At the employer,No,Yes,Athena,Athena,Man,1600
7/15/2020 19:13:59,11+,"Backend, Desktop apps, AI / ML, BI","C#, Python",51-100,Both,No,No,Athena,Athena,Man,23800
7/15/2020 19:19:38,4-5,Frontend,JavaScript,501+,Both,No,Yes,Patras,Patras,Man,1000
7/15/2020 19:22:54,I'm not working yet,Frontend,"JavaScript, PHP",<10,Both,No,Yes,Athena,Athena,Man,8400
7/15/2020 19:36:39,1-3,"DevOps, Backend, Frontend, Mobile apps","Python, JavaScript, PHP",<10,Both,Yes,Yes,Athena,Athena,Man,11000
7/15/2020 19:39:08,1-3,"Backend, Frontend","C#, JavaScript",11-50,At the employer,No,No,Athena,Athena,Man,11000
7/15/2020 19:47:40,4-5,Backend,"JavaScript, PHP",<10,At the employer,No,Yes,Athena,Athena,Man,16250
7/15/2020 19:53:18,6-10,"Backend, Frontend","PHP, html css WordPress",<10,At the employer,No,Yes,Patras,Patras,Man,5000
7/15/2020 19:54:58,4-5,Backend,"Java, C",201-500,Both,No,No,Athena,Athena,Man,18000
7/15/2020 19:55:52,4-5,"Backend, Frontend, embedded","C++, JavaScript, PHP",11-50,At the employer,Yes,Yes,Athena,Athena,Man,18900
7/15/2020 20:15:24,1-3,"Backend, Frontend","C#, JavaScript",501+,At the employer,No,Yes,Athena,Athena,Man,16000
7/15/2020 20:26:56,1-3,"Backend, Frontend","Java, JavaScript",201-500,At the employer,No,No,Athena,Athena,Man,800
7/15/2020 20:28:28,6-10,Frontend,"JavaScript, PHP",11-50,At the employer,No,Yes,Thessaloniki,,Man,8400
7/15/2020 20:38:06,4-5,Mobile apps,"Swift, Objective-C, Kotlin",501+,Remote,No,No,Athena,Nicosia,Man,50000
7/15/2020 20:51:13,1-3,Backend,"JavaScript, PHP",501+,Both,No,Yes,Athena,,Man,12.5
7/15/2020 21:34:38,1-3,Mobile apps,"Java, Kotlin",11-50,At the employer,No,Yes,Athena,Athena,Man,700
7/15/2020 21:47:32,1-3,Backend,Python,11-50,At the employer,No,No,Thessaloniki,Thessaloniki,Man,10000
7/15/2020 21:50:56,1-3,"Frontend, embedded","C, JavaScript",11-50,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,9000
7/15/2020 21:51:46,1-3,Backend,"Java, JavaScript",501+,Both,No,No,Athena,Athena,Man,13104
7/15/2020 21:55:26,4-5,DevOps,Python,51-100,Both,No,No,Athena,Athena,Man,17000
7/15/2020 22:01:11,1-3,"Backend, Business Intelligence",C#,11-50,Both,Yes,No,Athena,Athena,Man,15400
7/15/2020 22:17:54,1-3,Frontend,PHP,201-500,Both,No,Yes,Athena,Athena,Man,12280
7/15/2020 22:24:44,6-10,Backend,"PHP, Go",501+,Both,Yes,No,Athena,Athena,Man,24000
7/15/2020 22:36:21,1-3,"Backend, Frontend, Mobile apps","C#, JavaScript",101-200,At the employer,No,Yes,SALAMIS,Athena,Man,12000
7/15/2020 22:36:43,1-3,DevOps,"Python, PHP, Ruby, Go, Assembly",11-50,Both,Yes,Yes,Athena,Athena,Man,10000
7/15/2020 22:42:03,11+,"DevOps, Backend","Java, JavaScript, PHP, Go",11-50,Both,Yes,Yes,Amsterdam,Amsterdam,Man,55000
7/15/2020 22:51:27,1-3,"Backend, Frontend","Java, JavaScript",201-500,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,14000
7/15/2020 22:54:16,I'm not working yet,"DevOps, Backend","Java, C++, JavaScript",11-50,At the employer,No,No,Athena,Athena,Man,600
7/15/2020 22:54:49,1-3,"Backend, Frontend, Mobile apps","C#, JavaScript",101-200,At the employer,No,Yes,SALAMIS,Athena,Man,12000
7/15/2020 22:56:13,1-3,"Backend, Frontend","Java, JavaScript",501+,At the employer,No,No,Athena,Athena,Man,930
7/15/2020 23:05:04,6-10,"Backend, Frontend",Java,51-100,At the employer,Yes,No,Madrid,Madrid,Man,25000
7/15/2020 23:12:54,4-5,"Backend, Frontend, Mobile apps",Java,101-200,At the employer,Yes,No,Kavala,Kavala,Man,15820
7/15/2020 23:14:02,1-3,Frontend,"Python, JavaScript, Typescript",11-50,Both,No,Yes,Athena,Athena,Man,19000
7/15/2020 23:14:53,4-5,Backend,Java,501+,Both,No,No,Athena,Athena,Man,21000
7/15/2020 23:24:44,1-3,Backend,"JavaScript, PHP",<10,At the employer,Yes,Yes,Athena,Athena,Man,11200
7/15/2020 23:33:23,6-10,"Backend, Frontend","JavaScript, PHP",<10,At the employer,No,Yes,Kalymnos,Kalymnos,Man,12600
7/15/2020 23:37:37,1-3,Frontend,JavaScript,11-50,Both,No,No,Athena,Athena,Man,12000
7/15/2020 23:49:14,11+,"Backend, Frontend",C#,11-50,Remote,Yes,Yes,Athena,San Francisco,Man,40000
7/15/2020 23:52:39,1-3,"Backend, Frontend",C#,11-50,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,21300
7/16/2020 0:04:50,11+,"DevOps, Backend","PHP, Go",201-500,At the employer,Yes,No,Amsterdam,Amsterdam,Man,85000
7/16/2020 0:05:20,4-5,"Backend, Frontend","JavaScript, PHP",<10,Remote,No,Yes,Thessaloniki,Athena,Man,10000
7/16/2020 0:31:16,1-3,Backend,Java,501+,Both,No,No,Athena,Athena,Man,13600
7/16/2020 0:42:05,1-3,"DevOps, Backend, Mobile apps, Desktop apps, AI / ML, Cybersecurity","Java, C, C++, Python, JavaScript, Assembly",101-200,At the employer,No,Yes,Athena,Athena,Man,17000
7/16/2020 0:52:38,4-5,Backend,"JavaScript, PHP",<10,At the employer,Yes,Yes,Athena,Athena,Man,11252
7/16/2020 0:53:33,1-3,Frontend,JavaScript,11-50,Both,No,Yes,Athena,Athena,Man,10400
7/16/2020 1:07:45,1-3,AI / ML,Python,51-100,Both,No,No,Athena,Athena,Man,12600
7/16/2020 1:30:56,4-5,Backend,JavaScript,<10,Both,Yes,Yes,Athena,Athena,Man,1500
7/16/2020 2:27:43,6-10,"Backend, AI / ML","Java, Python",11-50,Both,No,No,Thessaloniki,Thessaloniki,Man,23500
7/16/2020 7:40:40,11+,"DevOps, Backend, Frontend","Java, JavaScript",11-50,At the employer,Yes,Yes,Heraklion,Heraklion,Man,16000
7/16/2020 10:29:00,1-3,Mobile apps,C#,11-50,Both,Yes,Yes,Athena,Athena,Man,19765
7/16/2020 10:51:14,6-10,"Mobile apps, Gaming",C#,11-50,At the employer,No,No,Athena,,Man,25400
7/16/2020 10:55:05,I'm not working yet,DevOps,Python,<10,Both,No,No,Thessaloniki,Thessaloniki,Man,9600
7/16/2020 12:32:21,1-3,AI / ML,Python,101-200,Remote,No,Yes,Athena,Athena,Man,7200
7/16/2020 12:45:48,4-5,"Backend, Frontend","JavaScript, PHP",11-50,At the employer,Yes,Yes,Athena,Athena,Man,19600
7/16/2020 12:50:45,I'm not working yet,Backend,Java,<10,At the employer,No,,Athena,,,0
7/16/2020 13:35:03,1-3,Mobile apps,Java,<10,At the employer,No,Yes,Heraklion,Heraklion,Man,700 € per month
7/16/2020 14:27:30,4-5,"Backend, Frontend",JavaScript,201-500,Remote,No,No,Thessaloniki,Thessaloniki,Man,40000
7/16/2020 14:41:06,1-3,Automation Testing,Java,501+,Both,No,No,Athena,Athena,Man,13000
7/16/2020 15:32:00,1-3,"DevOps, Backend, Frontend","Java, JavaScript",<10,Both,No,Yes,Athena,Athena,Man,21000
7/16/2020 15:35:01,6-10,Mobile apps,"Java, Kotlin",101-200,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,21420
7/16/2020 15:39:34,1-3,Backend,"Java, Groovy",<10,At the employer,No,Yes,Athena,Athena,Man,9000
7/16/2020 16:31:07,4-5,Frontend,"JavaScript, PHP",<10,At the employer,No,Yes,Athena,Athena,Man,12000
7/16/2020 16:32:58,4-5,"Backend, Frontend","JavaScript, PHP",51-100,Both,No,No,Berlin,Berlin,Man,30000
7/16/2020 16:49:36,4-5,"Desktop apps, Gaming",C++,<10,Remote,Yes,Yes,Komotini,Komotini,Man,21000
7/16/2020 19:33:45,1-3,Mobile robotics,"C++, Python",501+,At the employer,No,Yes,Eindhoven,Eindhoven,Man,31600
7/16/2020 19:44:24,1-3,Frontend,JavaScript,<10,At the employer,No,No,Athena,Athena,Man,9800
7/16/2020 20:16:46,1-3,Backend,"COBOL, RDML",501+,At the employer,No,No,Athena,Athena,Man,11200
7/16/2020 20:53:53,1-3,"DevOps, Frontend",JavaScript,11-50,At the employer,No,Yes,Athena,Athena,Man,9800
7/16/2020 21:31:03,4-5,Backend,C#,51-100,At the employer,No,Yes,Athena,Athena,Man,1400
7/16/2020 21:36:02,4-5,"Backend, Frontend","C#, JavaScript",201-500,Both,No,No,Athena,Athena,Man,19600
7/16/2020 22:46:09,1-3,Backend,"JavaScript, PHP",<10,At the employer,No,No,Cyprus,Larnaca,Man,13200
7/16/2020 23:15:58,1-3,"Backend, Frontend",C#,101-200,At the employer,No,No,Athena,Athena,Man,11.2
7/16/2020 23:33:08,6-10,"Backend, Frontend","C#, JavaScript",11-50,Both,No,No,Oxford,Oxford,Man,70000 in approx
7/16/2020 23:53:24,1-3,Backend,PHP,<10,At the employer,No,Yes,Volos,Volos,Man,10500
7/17/2020 11:17:16,11+,Backend,"Java, JavaScript, Groovy",201-500,Remote,No,Yes,Thessaloniki,Athena,Man,20300
7/17/2020 12:04:13,11+,"DevOps, AI / ML, + project managment","C#, Python, Visual Basic .NET, JavaScript",<10,Both,Yes,Yes,Athena,Athena,Man,1200
7/17/2020 18:52:45,4-5,Frontend,JavaScript,501+,Both,Yes,Yes,Athena,Athena,Man,23500
7/17/2020 21:56:59,4-5,Fullstack,"JavaScript, PHP, Ruby",11-50,Remote,No,No,Kalmar,Stockholm,Man,43750
7/17/2020 22:58:48,11+,Backend,PHP,11-50,Remote,No,No,Heraklion,Zurich,Man,60000
7/18/2020 8:21:00,4-5,"Backend, Frontend","Java, C#",201-500,At the employer,No,No,Athena,Athena,Man,16800
7/18/2020 11:40:25,4-5,"DevOps, Backend, Frontend","PHP, Go",51-100,Both,Yes,Yes,Athena,Athena,Man,18000
7/18/2020 12:30:41,1-3,"DevOps, Backend",Python,501+,At the employer,No,No,Athena,Athena,Man,930
7/18/2020 13:09:02,1-3,"Frontend, Mobile apps",JavaScript,11-50,Both,Yes,No,Athena,Athena,Woman,24000
7/19/2020 0:49:25,1-3,Backend,C#,501+,Both,No,No,Athena,Athena,Man,10500
7/19/2020 11:32:01,4-5,"DevOps, Backend, Mobile apps","Java, C, C++, C#, Python, JavaScript, PHP",11-50,Both,Yes,Yes,Athena,Athena,Man,15000
7/19/2020 16:12:49,1-3,Mobile apps,"Java, PHP, Swift, Kotlin",11-50,At the employer,No,Yes,Athena,Athena,Man,10200
7/19/2020 17:01:00,6-10,"Backend, Finance/Trading applications",Java,501+,Both,No,No,Amsterdam,Amsterdam,Man,70000
7/20/2020 1:07:01,1-3,"Backend, Frontend","Python, JavaScript, PHP",11-50,Both,Yes,No,Athena,Athena,Man,9000
7/20/2020 9:05:19,1-3,"Backend, Frontend","C#, Python, JavaScript, PHP",11-50,At the employer,No,Yes,Xanthi,Xanthi,Man,10
7/20/2020 10:56:30,1-3,"Backend, Frontend","Java, JavaScript",201-500,Both,No,No,Athena,Athena,Man,9936
7/20/2020 11:05:10,6-10,Mobile apps,"Java, C#, Swift, Kotlin",11-50,At the employer,No,No,Janina,Janina,Man,15000
7/20/2020 11:06:00,1-3,DevOps,"Visual Basic .NET, JavaScript",<10,At the employer,Yes,No,Thessaloniki,Thessaloniki,Man,12.18€
7/20/2020 11:22:38,1-3,"Backend, Desktop apps","C#, JavaScript, Dynamics NAV",11-50,At the employer,No,Yes,Athena,Athena,Man,9996
7/20/2020 14:15:24,1-3,Desktop apps,C++,51-100,At the employer,No,No,Thessaloniki,Thessaloniki,Man,15000
7/20/2020 16:49:42,11+,"Backend, Frontend","JavaScript, PHP",<10,Both,No,Yes,Athena,Athena,Man,1000
7/20/2020 19:25:50,1-3,Backend,"Java, Python",<10,At the employer,No,No,Athena,Athena,Man,12000
7/20/2020 23:24:39,1-3,RPA Developer,C#,501+,Both,Yes,Yes,Bratislava,Bratislava,Man,16000
7/21/2020 11:14:04,1-3,Backend,Java,501+,Remote,No,No,Athena,Athena,Man,12600
7/21/2020 12:26:53,1-3,"Backend, Frontend","C#, JavaScript",201-500,Both,Yes,No,Thessaloniki,Thessaloniki,Man,670
7/21/2020 14:41:37,4-5,Backend,Java,201-500,Both,No,,Athena,,,21000
7/21/2020 16:03:52,1-3,FULL STACK DEVELOPER,"JavaScript, PHP",<10,Both,Yes,No,Athena,Athena,Man,12300
7/21/2020 17:08:40,6-10,"DevOps, Backend",Python,11-50,Remote,No,Yes,Athena,London,Man,1500
7/21/2020 18:48:36,1-3,"Backend, Frontend",Java,<10,At the employer,No,No,Athena,Athena,Man,13500
7/21/2020 21:46:08,4-5,"Backend, Frontend","C#, JavaScript",201-500,Both,No,Yes,Athena,Athena,Man,23.8
7/21/2020 22:19:03,6-10,"Backend, Frontend","JavaScript, PHP",<10,At the employer,No,No,KAVALA,KAVALA,Man,16000
7/21/2020 23:11:21,1-3,Backend,Python,11-50,At the employer,No,No,Berlin,Berlin,Man,28440
7/22/2020 0:35:55,1-3,Frontend,"JavaScript, PHP",201-500,At the employer,No,No,Cologne,,Man,30000
7/22/2020 10:17:15,1-3,"Backend, Frontend","Java, JavaScript",201-500,Both,No,No,Thessaloniki,Thessaloniki,Man,17000
7/22/2020 11:58:52,1-3,"DevOps, Backend, Frontend","Java, JavaScript",501+,Both,Yes,No,Athena,Athena,Man,19000
7/22/2020 12:35:46,6-10,"Mobile apps, Desktop apps",Java,201-500,At the employer,No,No,Thessaloniki,Thessaloniki,Man,21
7/22/2020 12:37:24,I'm not working yet,"Backend, Frontend","JavaScript, PHP",<10,Both,No,Yes,Heraklion,Heraklion,Man,850
7/22/2020 12:47:27,1-3,Frontend,JavaScript,<10,Both,No,Yes,Athena,,Man,7200
7/22/2020 12:48:13,1-3,"Backend, Frontend","Java, JavaScript",101-200,At the employer,No,No,Athena,,Man,15400
7/22/2020 12:53:37,4-5,Mobile apps,Kotlin,51-100,Both,Yes,Yes,Thessaloniki,Thessaloniki,Man,16000
7/22/2020 12:54:56,1-3,"Backend, Frontend","C#, JavaScript",<10,At the employer,No,No,Athena,Athena,Man,750 net x 12 + (750 + 375 gifts) = 10.125 (without bonus)
7/22/2020 13:03:59,1-3,Mobile apps,"Java, Kotlin",51-100,At the employer,No,No,Athena,Athena,Man,15000
7/22/2020 13:04:31,4-5,Backend,C#,51-100,At the employer,No,Yes,Athena,Athena,Man,21000
7/22/2020 14:37:27,4-5,"Backend, Frontend","JavaScript, PHP",201-500,At the employer,No,Yes,Athena,Athena,Man,1300
7/22/2020 15:19:51,4-5,"Backend, Frontend","JavaScript, PHP",<10,Remote,No,Yes,Thessaloniki,London,Man,45000
7/22/2020 15:34:30,6-10,"Backend, Frontend",Java,51-100,At the employer,Yes,No,Athena,Athena,Man,20000
7/22/2020 16:39:23,1-3,Desktop apps,Java,<10,At the employer,Yes,Yes,Athena,Athena,Man,17000
7/22/2020 16:54:14,1-3,Backend,"C#, CA GEN",201-500,Both,No,No,Athena,Athena,Man,15325
7/22/2020 17:10:46,1-3,Backend,PHP,<10,Both,No,Yes,Athena,Athena,Man,14000
7/22/2020 17:49:19,1-3,Backend,"C#, Python, JavaScript",51-100,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,700
7/22/2020 18:33:13,1-3,Frontend,"Python, JavaScript",<10,Remote,No,Yes,London,London,Man,35
7/22/2020 18:53:34,6-10,Backend,"PHP, Ruby, Go",501+,Both,Yes,Yes,Athena,Athena,Man,3200
7/22/2020 19:03:39,4-5,"Backend, Frontend","JavaScript, PHP",11-50,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,9000
7/22/2020 19:57:56,11+,"Backend, Frontend","Ruby, Elixir",<10,Both,Yes,Yes,Athena,Athena,Man,40000
7/22/2020 20:10:47,1-3,Backend,Java,11-50,At the employer,No,No,Athena,Athena,Man,27000
7/22/2020 21:06:51,1-3,Frontend,JavaScript,<10,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,11200
7/22/2020 21:29:55,6-10,Backend,Java,<10,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,19.6
7/22/2020 22:24:48,1-3,Frontend,"JavaScript, PHP",11-50,At the employer,Yes,Yes,Thessaloniki,Thessaloniki,Man,14000
7/22/2020 22:50:05,4-5,"Backend, Frontend","JavaScript, PHP, VueJs",11-50,Remote,No,Yes,Larissa,Athena,Man,17040
7/22/2020 23:51:53,1-3,Frontend,JavaScript,<10,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,8200
7/22/2020 23:58:21,11+,"Backend, Frontend",JavaScript,51-100,Remote,No,No,-,-,Man,104
7/23/2020 1:04:41,1-3,Desktop apps,Visual Basic .NET,201-500,At the employer,No,Yes,Athena,,Man,7056
7/23/2020 2:23:01,4-5,"DevOps, Backend, Frontend, Mobile apps","Java, JavaScript, Typescript",11-50,At the employer,No,No,Thessaloniki,Thessaloniki,Man,14200
7/23/2020 2:27:58,1-3,Backend,C#,11-50,At the employer,No,No,Athena,Athena,Man,11.2
7/23/2020 6:05:59,1-3,Frontend,JavaScript,11-50,Remote,No,No,Thessaloniki,Miami,Man,12
7/23/2020 10:17:37,1-3,Backend,Java,501+,Both,Yes,No,Athena,Athena,Man,14000
7/23/2020 13:41:04,6-10,"Backend, Frontend","JavaScript, PHP",11-50,At the employer,No,Yes,Athena,Athena,Man,22400
7/23/2020 13:42:06,6-10,"Backend, Frontend, Drupal","JavaScript, PHP, html, css",11-50,Remote,No,Yes,Athena,Athena,Man,28000
7/23/2020 14:22:21,1-3,Backend,PHP,501+,At the employer,Yes,Yes,Athena,Athena,Man,1100
7/23/2020 18:38:19,I'm not working yet,Frontend,Python,<10,Both,No,Yes,Athena,Athena,Man,0
7/23/2020 20:04:04,1-3,"Backend, Frontend","JavaScript, PHP",11-50,At the employer,No,Yes,Athena,Athena,Man,10000
7/23/2020 23:28:26,1-3,"Backend, Frontend","JavaScript, PHP",<10,At the employer,Yes,Yes,Thessaloniki,Thessaloniki,Man,650
7/23/2020 23:35:10,1-3,"Backend, Frontend","Java, JavaScript",201-500,At the employer,Yes,No,Thessaloniki,Thessaloniki,Man,15000
7/23/2020 23:51:34,1-3,Backend,Python,<10,Remote,No,Yes,Chios,Chios,Man,8450
